S,S_nt,S_ri,E2E,BAH
1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
1.09E+00,1.04E+00,1.04E+00,1.06E+00,1.03E+00
1.09E+00,1.04E+00,1.04E+00,1.06E+00,1.04E+00
1.09E+00,1.03E+00,1.03E+00,1.06E+00,1.04E+00
1.19E+00,1.08E+00,1.08E+00,1.10E+00,1.06E+00
1.17E+00,1.06E+00,1.06E+00,1.08E+00,1.05E+00
1.27E+00,1.09E+00,1.10E+00,1.11E+00,1.06E+00
1.29E+00,1.10E+00,1.10E+00,1.13E+00,1.07E+00
1.27E+00,1.07E+00,1.08E+00,1.11E+00,1.05E+00
1.27E+00,1.08E+00,1.09E+00,1.11E+00,1.06E+00
1.24E+00,1.07E+00,1.07E+00,1.08E+00,1.04E+00
1.20E+00,1.05E+00,1.04E+00,1.05E+00,1.03E+00
1.21E+00,1.06E+00,1.05E+00,1.07E+00,1.03E+00
1.19E+00,1.06E+00,1.04E+00,1.04E+00,1.02E+00
1.16E+00,1.02E+00,1.01E+00,9.99E-01,9.82E-01
1.12E+00,1.01E+00,9.92E-01,1.02E+00,9.94E-01
1.13E+00,9.95E-01,9.74E-01,9.75E-01,9.77E-01
1.09E+00,1.02E+00,9.86E-01,1.02E+00,9.94E-01
1.13E+00,1.04E+00,1.01E+00,1.03E+00,1.00E+00
1.12E+00,1.04E+00,1.01E+00,1.06E+00,1.01E+00
1.12E+00,1.05E+00,1.02E+00,1.03E+00,1.01E+00
1.09E+00,1.02E+00,9.88E-01,1.00E+00,9.87E-01
1.09E+00,1.03E+00,9.99E-01,1.02E+00,9.81E-01
1.14E+00,1.05E+00,1.02E+00,1.02E+00,9.89E-01
1.13E+00,1.04E+00,1.01E+00,1.00E+00,9.68E-01
1.09E+00,1.03E+00,9.93E-01,1.01E+00,9.63E-01
1.07E+00,9.98E-01,9.70E-01,1.00E+00,9.35E-01
1.10E+00,1.01E+00,9.81E-01,1.01E+00,9.40E-01
1.09E+00,9.99E-01,9.71E-01,9.61E-01,9.27E-01
1.06E+00,9.80E-01,9.42E-01,9.69E-01,9.06E-01
1.07E+00,1.00E+00,9.69E-01,9.88E-01,9.24E-01
1.09E+00,1.04E+00,9.91E-01,9.81E-01,9.43E-01
1.06E+00,1.02E+00,9.64E-01,9.61E-01,9.09E-01
1.08E+00,1.02E+00,9.73E-01,9.29E-01,8.95E-01
1.13E+00,1.07E+00,1.01E+00,9.82E-01,9.36E-01
1.10E+00,1.04E+00,9.89E-01,9.69E-01,9.14E-01
1.08E+00,1.06E+00,9.84E-01,9.50E-01,9.08E-01
1.06E+00,1.04E+00,9.67E-01,9.30E-01,8.86E-01
1.08E+00,1.07E+00,9.88E-01,9.36E-01,8.74E-01
1.14E+00,1.06E+00,9.99E-01,9.55E-01,8.80E-01
1.10E+00,1.03E+00,9.73E-01,9.34E-01,8.55E-01
1.17E+00,1.05E+00,1.00E+00,9.85E-01,8.85E-01
1.19E+00,1.10E+00,1.04E+00,1.04E+00,9.22E-01
1.22E+00,1.10E+00,1.05E+00,1.05E+00,9.26E-01
1.33E+00,1.17E+00,1.12E+00,1.11E+00,9.72E-01
1.28E+00,1.14E+00,1.09E+00,1.07E+00,9.45E-01
1.32E+00,1.17E+00,1.12E+00,1.08E+00,9.73E-01
1.33E+00,1.18E+00,1.13E+00,1.13E+00,9.78E-01
1.40E+00,1.21E+00,1.18E+00,1.12E+00,1.00E+00
1.40E+00,1.22E+00,1.18E+00,1.10E+00,9.95E-01
1.42E+00,1.23E+00,1.19E+00,1.13E+00,1.00E+00
1.41E+00,1.21E+00,1.18E+00,1.09E+00,9.81E-01
1.45E+00,1.24E+00,1.22E+00,1.12E+00,9.96E-01
1.49E+00,1.23E+00,1.22E+00,1.10E+00,9.87E-01
1.50E+00,1.23E+00,1.23E+00,1.11E+00,9.84E-01
1.53E+00,1.22E+00,1.23E+00,1.13E+00,9.90E-01
1.53E+00,1.21E+00,1.22E+00,1.14E+00,9.86E-01
1.60E+00,1.24E+00,1.27E+00,1.13E+00,1.00E+00
1.58E+00,1.22E+00,1.25E+00,1.19E+00,1.01E+00
1.64E+00,1.26E+00,1.30E+00,1.20E+00,1.03E+00
1.67E+00,1.28E+00,1.34E+00,1.21E+00,1.04E+00
1.61E+00,1.23E+00,1.28E+00,1.19E+00,1.01E+00
1.58E+00,1.22E+00,1.26E+00,1.17E+00,1.01E+00
1.52E+00,1.20E+00,1.23E+00,1.14E+00,9.84E-01
1.58E+00,1.15E+00,1.25E+00,1.16E+00,9.86E-01
1.63E+00,1.17E+00,1.28E+00,1.18E+00,9.88E-01
1.67E+00,1.20E+00,1.31E+00,1.21E+00,1.01E+00
1.69E+00,1.19E+00,1.32E+00,1.20E+00,1.01E+00
1.67E+00,1.18E+00,1.31E+00,1.19E+00,1.00E+00
1.66E+00,1.17E+00,1.31E+00,1.16E+00,9.75E-01
1.70E+00,1.19E+00,1.33E+00,1.20E+00,9.92E-01
1.71E+00,1.20E+00,1.34E+00,1.23E+00,1.02E+00
1.70E+00,1.18E+00,1.33E+00,1.24E+00,1.02E+00
1.73E+00,1.20E+00,1.35E+00,1.24E+00,1.02E+00
1.73E+00,1.18E+00,1.35E+00,1.21E+00,1.00E+00
1.79E+00,1.20E+00,1.38E+00,1.23E+00,1.03E+00
1.79E+00,1.20E+00,1.38E+00,1.23E+00,1.03E+00
1.80E+00,1.20E+00,1.39E+00,1.23E+00,1.02E+00
1.78E+00,1.20E+00,1.38E+00,1.20E+00,1.01E+00
1.75E+00,1.21E+00,1.37E+00,1.20E+00,1.01E+00
1.75E+00,1.21E+00,1.37E+00,1.18E+00,9.95E-01
1.78E+00,1.22E+00,1.39E+00,1.18E+00,9.98E-01
1.72E+00,1.21E+00,1.36E+00,1.14E+00,9.76E-01
1.76E+00,1.21E+00,1.36E+00,1.15E+00,9.89E-01
1.82E+00,1.24E+00,1.40E+00,1.16E+00,9.90E-01
1.87E+00,1.24E+00,1.42E+00,1.15E+00,9.85E-01
1.84E+00,1.24E+00,1.41E+00,1.12E+00,9.73E-01
1.89E+00,1.25E+00,1.44E+00,1.16E+00,9.96E-01
1.87E+00,1.24E+00,1.43E+00,1.16E+00,9.86E-01
1.87E+00,1.22E+00,1.41E+00,1.14E+00,9.75E-01
1.83E+00,1.20E+00,1.38E+00,1.13E+00,9.65E-01
1.94E+00,1.23E+00,1.43E+00,1.13E+00,9.81E-01
1.88E+00,1.24E+00,1.43E+00,1.15E+00,9.79E-01
1.87E+00,1.23E+00,1.41E+00,1.14E+00,9.73E-01
1.84E+00,1.23E+00,1.41E+00,1.13E+00,9.71E-01
1.81E+00,1.22E+00,1.39E+00,1.13E+00,9.56E-01
1.81E+00,1.20E+00,1.37E+00,1.12E+00,9.59E-01
1.79E+00,1.20E+00,1.36E+00,1.10E+00,9.59E-01
1.88E+00,1.24E+00,1.42E+00,1.14E+00,9.90E-01
1.91E+00,1.25E+00,1.43E+00,1.14E+00,9.89E-01
1.95E+00,1.26E+00,1.44E+00,1.16E+00,1.01E+00
1.95E+00,1.27E+00,1.45E+00,1.19E+00,1.01E+00
1.92E+00,1.27E+00,1.44E+00,1.15E+00,9.89E-01
1.97E+00,1.29E+00,1.47E+00,1.19E+00,1.01E+00
1.99E+00,1.29E+00,1.47E+00,1.19E+00,1.01E+00
1.98E+00,1.29E+00,1.47E+00,1.20E+00,1.01E+00
2.00E+00,1.30E+00,1.48E+00,1.21E+00,1.02E+00
